ticket_text,category,priority,reason
I've sent 3 emails with no response in 3 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
Is internet available in my country?,General Inquiry,Low,Service geographic availability inquiry
Can I get a demo of the enterprise features before committing?,Sales / Plan Upgrade,Low,Enterprise plan demo request before purchase
I need to update my date of birth on my profile.,Account Management,Medium,Date of birth correction requested on profile
I've sent 100 emails with no response in 30 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
I need receipts for the past 20 months for expense reporting.,Billing,High,Historical receipts required for accounting
My account's audit log is missing entries from last week.,Account Management,Medium,Missing entries in account audit log
Does the Plus plan include sync? I need it for my workflow.,Sales / Plan Upgrade,Medium,Feature availability inquiry before plan decision
My credit balance of $149.99 hasn't been applied to this month's bill.,Billing,Low,Existing credit not applied to invoice
I want to upgrade my storage from 100 GB to 1000 GB.,Sales / Plan Upgrade,Medium,Storage capacity upgrade request
Can I get a quote for 100 enterprise licenses for our company?,Sales / Plan Upgrade,Medium,Enterprise license quote request
My internet router shows connected but no pages load.,Technical Support,Low,Connected status with no actual internet access
My credit balance of $99.99 hasn't been applied to this month's bill.,Billing,Low,Existing credit not applied to invoice
Where can I find the user manual for smartphone?,General Inquiry,Low,User manual or documentation request
I want to upgrade my storage from 50 GB to 200 GB.,Sales / Plan Upgrade,Medium,Storage capacity upgrade request
Can I get a quote for 15 enterprise licenses for our company?,Sales / Plan Upgrade,Low,Enterprise license quote request
What's the maximum file size I can upload to VoIP?,General Inquiry,Low,File upload size limit inquiry
Your service has been down for 5 hours and nobody is communicating.,Complaints & Escalations,Medium,Prolonged outage with no communication from provider
My VPN speed is much slower than the promised 200 Mbps.,Technical Support,Medium,Service speed below contracted level
I'd like to upgrade from the Standard plan to the Business plan. What's the cost?,Sales / Plan Upgrade,Low,Customer inquiring about plan upgrade pricing
Does your Premium plan offer API access? We need it for development.,Sales / Plan Upgrade,Medium,API access availability in plan inquiry
Is VPN available in my country?,General Inquiry,Low,Service geographic availability inquiry
The backup feature stopped working after I changed settings.,Technical Support,High,Feature malfunction after user action
Your VoIP downtime cost me $149.99 in lost business this week.,Complaints & Escalations,Medium,Financial loss attributed to service downtime
I need to change the primary account holder's name.,Account Management,High,Primary account holder name change required
I've been waiting 7 days for a resolution and no one has followed up.,Complaints & Escalations,Medium,Extended wait time with no follow-up on ticket
I set up SSO but can't log in through my company's portal.,Account Management,High,Single sign-on configuration issue
I want to close my account and transfer the data to my colleague.,Account Management,Medium,Account closure with data transfer request
I overpaid by $49.99 last month. Can I get a credit or refund?,Billing,High,Overpayment requiring credit or refund
Your portal downtime cost me $49.99 in lost business this week.,Complaints & Escalations,High,Financial loss attributed to service downtime
The currency on my invoice is wrong. I should be billed in USD.,Billing,Medium,Incorrect billing currency on invoice
My bill shows $29.99 but my plan is only $14.99 per month.,Billing,High,Bill amount exceeds contracted plan price
I need to whitelist our company IP address for account access.,Account Management,Medium,IP whitelist configuration for company account
My router won't turn on after the battery drained completely.,Technical Support,High,Device power failure after battery depletion
My router's yellow light keeps blinking. No internet access.,Technical Support,High,Router status light indicating connectivity issue
I want to enable advanced security settings on my account.,Account Management,Low,Advanced security settings activation request
I need to dispute a charge of $49.99 from July.,Billing,High,Billing dispute for specific charge
The same issue keeps recurring every 5 weeks. Nothing is fixed permanently.,Complaints & Escalations,Low,Recurring issue with no permanent resolution
Your service has been down for 2 hours and nobody is communicating.,Complaints & Escalations,High,Prolonged outage with no communication from provider
Can I split billing between two departments for our company account?,Sales / Plan Upgrade,Low,Split billing arrangement inquiry
I feel discriminated against by how my complaint was handled.,Complaints & Escalations,High,Complaint handling fairness concern
I locked myself out after too many failed login attempts.,Account Management,Low,Account locked due to failed login attempts
I want to speak directly to a manager regarding my account issue.,Complaints & Escalations,Medium,Escalation to management requested
Can I use portal offline without an internet connection?,General Inquiry,Low,Offline functionality availability inquiry
I set up router but it won't appear in the Teams dashboard.,Technical Support,High,Device not detected after setup
The early termination fee of $49.99 charged seems incorrect.,Billing,Low,Early termination fee dispute
The Chrome dark mode setting resets every time I reopen the app.,Technical Support,High,User preference not persisting across sessions
What's the maximum file size I can upload to dashboard?,General Inquiry,Low,File upload size limit inquiry
I can't receive emails on Zoom. Sending works fine.,Technical Support,High,Email receive-only failure
Why did my bill increase from $14.99 to $29.99 without notice?,Billing,Medium,Unexplained price increase on monthly bill
I need to change my phone number for two-factor authentication.,Account Management,Low,2FA phone number update required
My data usage jumped to 50 GB overnight with no explanation.,Technical Support,High,Unexplained high data consumption
My account history shows transactions I didn't authorize.,Account Management,High,Unauthorized transactions in account history
I want to add 5 more user seats to our current business account.,Sales / Plan Upgrade,Low,Additional user seats requested for business plan
My credit balance of $49.99 hasn't been applied to this month's bill.,Billing,High,Existing credit not applied to invoice
The dashboard desktop app won't install on Windows 3.1.,Technical Support,Low,Software installation failure on specific OS version
We're a startup of 100 people. Which plan would you recommend?,Sales / Plan Upgrade,Medium,Plan recommendation requested for small team
The VPN mobile app is stuck on the loading screen.,Technical Support,High,Mobile app loading indefinitely
I can't connect to cloud storage from my modem. Other devices work fine.,Technical Support,Medium,Single-device connectivity failure
Is portal available in my country?,General Inquiry,Low,Service geographic availability inquiry
I'm getting SSL certificate errors when visiting the portal.,Technical Support,High,SSL/TLS certificate validation error
Does your service comply with HIPAA regulations?,General Inquiry,Low,HIPAA compliance status inquiry
Can I downgrade from Standard to Premium without losing my data?,Sales / Plan Upgrade,Low,Plan downgrade inquiry with data retention concern
I never received my invoice for March. Please resend it.,Billing,High,Missing invoice for billing period
I need a revised invoice with our company's GST/VAT number added.,Billing,Low,Invoice requires tax information update
I've sent 3 emails with no response in 7 days. This is unacceptable.,Complaints & Escalations,Medium,Multiple unanswered support communications
What's the maximum file size I can upload to internet?,General Inquiry,Low,File upload size limit inquiry
I need to reset my PIN for the Safari app.,Account Management,Medium,PIN reset request for application
I forgot my password and the reset link keeps saying it's expired.,Account Management,Low,Password reset link not functioning
My profile completeness score shows 100% but features are locked.,Account Management,Medium,Feature lock despite complete profile status
I was given incorrect information by your support team about refund timeline.,Complaints & Escalations,Medium,Incorrect information provided by support agent
Can I downgrade from Standard to Business without data loss?,Sales / Plan Upgrade,Low,Plan downgrade inquiry with data retention concern
What is your data privacy policy regarding user information?,General Inquiry,Medium,Data privacy and GDPR policy inquiry
Video calls on Zoom keep freezing every few seconds.,Technical Support,Medium,Video streaming quality issue
Can I downgrade from Standard to Professional without losing my data?,Sales / Plan Upgrade,Low,Plan downgrade inquiry with data retention concern
My smart TV keeps disconnecting every 15 minutes. I've restarted it 4 times.,Technical Support,Medium,Connectivity issue causing repeated service interruption
I can't connect to portal from my tablet. Other devices work fine.,Technical Support,Medium,Single-device connectivity failure
My smartphone is extremely slow after the latest firmware update.,Technical Support,Medium,Performance degradation post-update
My access was downgraded after our billing issue was resolved.,Account Management,High,Account access level not restored after billing fix
My refund of $19.99 was promised 3 days ago but hasn't arrived.,Billing,High,Delayed refund not received in expected timeframe
I need to change the email notifications frequency for my account.,Account Management,Medium,Email notification frequency preference update
Can I use email offline without an internet connection?,General Inquiry,Medium,Offline functionality availability inquiry
Is email available in my country?,General Inquiry,Low,Service geographic availability inquiry
Does the premium plan support integration with Zapier?,Sales / Plan Upgrade,Low,Third-party integration availability inquiry
I need to dispute a charge of $149.99 from March.,Billing,Medium,Billing dispute for specific charge
My display name shows incorrectly across all platforms.,Account Management,Medium,Display name discrepancy across services
I've sent 3 emails with no response in 5 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
Is there a community forum or user group I can join?,General Inquiry,Medium,Community resource availability inquiry
Why did my bill increase from $9.99 to $49.99 without notice?,Billing,Medium,Unexplained price increase on monthly bill
This is the 50th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
I'm getting a 'NullPointerException' error every time I launch the desktop client.,Technical Support,High,Recurring application error on launch
I never received my invoice for February. Please resend it.,Billing,Medium,Missing invoice for billing period
What's the maximum file size I can upload to VPN?,General Inquiry,Medium,File upload size limit inquiry
My account was suspended without any notification or reason.,Account Management,Medium,Account suspended without prior notice
I cannot log in to my account on desktop PC. The password is correct.,Account Management,High,Login failure despite correct credentials
The ticket I raised 30 days ago was closed without any resolution.,Complaints & Escalations,High,Support ticket closed without resolution
I was charged $99.99 twice this month. Please refund the extra amount.,Billing,Low,Duplicate charge detected on account
My smartphone microphone isn't working during mobile app calls.,Technical Support,High,Microphone not functional during calls
Can I use dashboard offline without an internet connection?,General Inquiry,Low,Offline functionality availability inquiry
I need to dispute a charge of $149.99 from May.,Billing,Medium,Billing dispute for specific charge
My modem keeps disconnecting every 15 minutes. I've restarted it 3 times.,Technical Support,High,Connectivity issue causing repeated service interruption
Where can I find the user manual for modem?,General Inquiry,Medium,User manual or documentation request
I want to change my account's primary language to Spanish.,Account Management,Medium,Primary language preference change on account
I want to opt out of all marketing emails from my account settings.,Account Management,Medium,Marketing email opt-out preference update
What's the volume discount for 20+ licenses for our organization?,Sales / Plan Upgrade,Low,Volume licensing discount inquiry
My refund of $29.99 was promised 3 days ago but hasn't arrived.,Billing,Medium,Delayed refund not received in expected timeframe
My router's amber light keeps blinking. No internet access.,Technical Support,High,Router status light indicating connectivity issue
Do you offer a free trial for the Business plan before purchasing?,Sales / Plan Upgrade,Medium,Free trial availability inquiry for paid plan
We're a startup of 3 people. Which plan would you recommend?,Sales / Plan Upgrade,High,Plan recommendation requested for small team
There's an unknown charge of $99.99 on my account this month.,Billing,Medium,Unrecognized charge requiring investigation
My subscription shows as free tier even after paying.,Account Management,Medium,Paid subscription not reflected on account
I can't connect to email from my laptop. Other devices work fine.,Technical Support,High,Single-device connectivity failure
I was given incorrect information by your support team about plan features.,Complaints & Escalations,High,Incorrect information provided by support agent
I want to add 15 more user seats to our current business account.,Sales / Plan Upgrade,Low,Additional user seats requested for business plan
Two-factor authentication texts are not arriving on my number.,Technical Support,High,2FA SMS delivery failure
Does the premium plan support integration with Google Workspace?,Sales / Plan Upgrade,Medium,Third-party integration availability inquiry
My two-step verification keeps failing with a valid code.,Account Management,Low,Valid 2FA code being rejected by system
My bill shows $99.99 but my plan is only $14.99 per month.,Billing,Low,Bill amount exceeds contracted plan price
My password manager saved the wrong password. Can you reset it?,Account Management,High,Password reset due to password manager conflict
My data usage jumped to 200 GB overnight with no explanation.,Technical Support,High,Unexplained high data consumption
Where can I find the user manual for set-top box?,General Inquiry,Low,User manual or documentation request
I need an itemized breakdown of my $49.99 invoice from May.,Billing,Medium,Itemized invoice breakdown requested
My platform router shows connected but no pages load.,Technical Support,High,Connected status with no actual internet access
My corporate SSO credentials don't work for the mobile app.,Account Management,Medium,SSO credentials not working on mobile application
Can you help me recover my account? I no longer have access to my old email.,Account Management,Low,Account recovery with lost email access
I need to add the white-label add-on to my existing subscription.,Sales / Plan Upgrade,High,Add-on feature purchase request
Is cloud storage available in my country?,General Inquiry,Low,Service geographic availability inquiry
The same issue keeps recurring every 10 weeks. Nothing is fixed permanently.,Complaints & Escalations,High,Recurring issue with no permanent resolution
Does your Plus plan offer API access? We need it for development.,Sales / Plan Upgrade,Medium,API access availability in plan inquiry
I need to dispute a charge of $49.99 from April.,Billing,High,Billing dispute for specific charge
I need to revoke API access for a former team member.,Account Management,High,API access revocation for departed team member
I need to update my email address from oldemail@example.com to newemail@example.com.,Account Management,Medium,Email address update required on account
The notifications button is greyed out and unclickable in the desktop client.,Technical Support,Medium,UI element unresponsive in application
I want to set up parental controls on my account.,Account Management,High,Parental control configuration request
I was charged $19.99 twice this month. Please refund the extra amount.,Billing,Medium,Duplicate charge detected on account
I've sent 2 emails with no response in 10 days. This is unacceptable.,Complaints & Escalations,High,Multiple unanswered support communications
Your VPN downtime cost me $99.99 in lost business this week.,Complaints & Escalations,Medium,Financial loss attributed to service downtime
Can I downgrade from Starter to Business without losing my data?,Sales / Plan Upgrade,Low,Plan downgrade inquiry with data retention concern
I can't connect to email from my smart TV. Other devices work fine.,Technical Support,Medium,Single-device connectivity failure
This is the 5th time I'm contacting support for the same issue with no resolution.,Complaints & Escalations,High,Repeat contact for unresolved issue requiring escalation
I need to update my email address from user.old@company.com to user.new@company.com.,Account Management,Medium,Email address update required on account
VoIP is showing error code ERR_001 on my router.,Technical Support,High,Error code blocking service access
The streaming mobile app is stuck on the loading screen.,Technical Support,Medium,Mobile app loading indefinitely
I need receipts for the past 5 months for expense reporting.,Billing,Medium,Historical receipts required for accounting
I'd like to upgrade from the Basic plan to the Standard plan. What's the cost?,Sales / Plan Upgrade,Low,Customer inquiring about plan upgrade pricing
I set up laptop but it won't appear in the Teams dashboard.,Technical Support,High,Device not detected after setup
I can't connect to platform from my router. Other devices work fine.,Technical Support,Medium,Single-device connectivity failure
I'm getting a 'Token expired' error every time I launch the mobile app.,Technical Support,High,Recurring application error on launch
I cancelled my subscription 14 days ago but was still charged.,Billing,Medium,Charge applied after cancellation
Can I get a quote for 50 enterprise licenses for our company?,Sales / Plan Upgrade,Medium,Enterprise license quote request
My bill shows $19.99 but my plan is only $9.99 per month.,Billing,Medium,Bill amount exceeds contracted plan price
What's the volume discount for 100+ licenses for our organization?,Sales / Plan Upgrade,Medium,Volume licensing discount inquiry
Your service outage caused me to lose important client data.,Complaints & Escalations,High,Service outage resulting in data loss
Your agent was extremely rude during my last call and didn't help me.,Complaints & Escalations,High,Agent behavior complaint requiring review
I was charged $149.99 twice this month. Please refund the extra amount.,Billing,High,Duplicate charge detected on account
Does the premium plan support integration with Jira?,Sales / Plan Upgrade,Low,Third-party integration availability inquiry
My smart speaker keeps disconnecting every 5 minutes. I've restarted it 5 times.,Technical Support,High,Connectivity issue causing repeated service interruption
My subscription benefits aren't showing on my account dashboard.,Account Management,Medium,Subscription benefits not visible on dashboard
I'd like to upgrade from the Professional plan to the Premium plan. What's the cost?,Sales / Plan Upgrade,Medium,Customer inquiring about plan upgrade pricing
The Chrome search function returns no results for anything I type.,Technical Support,High,Search feature returning empty results
My refund of $9.99 was promised 5 days ago but hasn't arrived.,Billing,Medium,Delayed refund not received in expected timeframe
I want to download a copy of all data stored in my account.,Account Management,High,Full account data download request
Where can I find the user manual for tablet?,General Inquiry,High,User manual or documentation request
I need an itemized breakdown of my $19.99 invoice from May.,Billing,Medium,Itemized invoice breakdown requested
Your service has been down for 3 hours and nobody is communicating.,Complaints & Escalations,Medium,Prolonged outage with no communication from provider
I've been waiting 3 days for a resolution and no one has followed up.,Complaints & Escalations,High,Extended wait time with no follow-up on ticket
Can you help me find my account? I don't remember the email I used.,Account Management,Medium,Account lookup with forgotten registration email
My refund of $149.99 was promised 5 days ago but hasn't arrived.,Billing,High,Delayed refund not received in expected timeframe
